CYFT,YMN,Makkovik Airport,M,55.0769,-59.1864,,,CA,Makkovik
CYGB,YGB,Texada Gillies Bay Airport,M,49.6900,-124.5200,49.6975,-124.5150,CA,Texada
CYGD,,Goderich Airport,M,43.7639,-81.7164,43.7711,-81.7003,CA,Goderich
CYGE,,Golden Airport,M,51.2925,-116.9850,51.3042,-116.9780,CA,Golden
CYGH,YGH,Fort Good Hope Airport,M,66.2408,-128.6610,66.2408,-128.6410,CA,Fort Good Hope
CYGK,YGK,Kingston Norman Rogers Airport,M,44.2183,-76.6022,44.2319,-76.5892,CA,Kingston
CYGL,YGL,La Grande Rivière Airport,M,53.6219,-77.7179,53.6288,-77.6904,CA,La Grande Rivière
CYGM,YGM,Gimli Industrial Park Airport,M,50.6197,-97.0494,50.6361,-97.0347,CA,Gimli
CYGO,YGO,Gods Lake Narrows Airport,M,54.5589,-94.4914,,,CA,Gods Lake Narrows
CYGP,YGP,Gaspé (Michel-Pouliot) Airport,M,48.7746,-64.4879,48.7759,-64.4693,CA,Gaspé
CYGQ,YGQ,Geraldton Greenstone Regional Airport,M,49.7764,-86.9494,49.7806,-86.9292,CA,Geraldton
CYGR,YGR,Îles-de-la-Madeleine Airport,M,47.4206,-61.7879,47.4294,-61.7735,CA,Îles-de-la-Madeleine
CYGT,YGT,Igloolik Airport,M,69.3647,-81.8161,,,CA,Igloolik
CYGV,YGV,Havre St Pierre Airport,M,50.2792,-63.6200,50.2847,-63.6028,CA,Havre St-Pierre
CYGW,YGW,Kuujjuarapik Airport,M,55.2819,-77.7653,,,CA,Kuujjuarapik
CYGX,YGX,Gillam Airport,M,56.3575,-94.7106,,,CA,Gillam
CYGZ,YGZ,Grise Fiord Airport,M,76.4261,-82.9092,,,CA,Grise Fiord
CYHA,YQC,Quaqtaq Airport,M,61.0464,-69.6178,,,CA,Quaqtaq
CYHD,YHD,Dryden Regional Airport,M,49.8272,-92.7556,49.8350,-92.7319,CA,Dryden
CYHE,YHE,Hope Airport,M,49.3683,-121.4980,,,CA,Hope
CYHF,YHF,Hearst René Fontaine Municipal Airport,M,49.7089,-83.6911,49.7192,-83.6808,CA,Hearst
CYHH,YNS,Nemiscau Airport,M,51.6911,-76.1356,,,CA,Nemiscau
CYHI,YHI,Ulukhaktok Holman Airport,M,70.7603,-117.8220,70.7658,-117.7900,CA,Ulukhaktok
CYHK,YHK,Gjoa Haven Airport,M,68.6319,-95.8628,68.6392,-95.8367,CA,Gjoa Haven
CYHM,YHM,John C. Munro Hamilton International Airport,M,43.1667,-79.9531,43.1806,-79.9175,CA,Hamilton
CYHN,YHN,Hornepayne Municipal Airport,M,49.1906,-84.7653,49.1956,-84.7525,CA,Hornepayne
CYHO,YHO,Hopedale Airport,M,55.4483,-60.2286,,,CA,Hopedale
CYHR,YHR,Chevery Airport,M,50.4654,-59.6446,50.4725,-59.6288,CA,Chevery
CYHT,YHT,Haines Junction Airport,M,60.7892,-137.5460,,,CA,Haines Junction
CYHU,YHU,Montréal / Saint-Hubert Airport,M,45.5097,-73.4286,45.5244,-73.4036,CA,Montréal
CYHY,YHY,Hay River / Merlyn Carter Airport,M,60.8319,-115.7960,60.8472,-115.7690,CA,Hay River
CYHZ,YHZ,Halifax / Stanfield International Airport,L,44.8686,-63.5250,44.8936,-63.4942,CA,Halifax
CYIB,YIB,Atikokan Municipal Airport,M,48.7703,-91.6433,48.7777,-91.6341,CA,Atikokan
CYID,YDG,Digby / Annapolis Regional Airport,M,44.5419,-65.7909,44.5499,-65.7806,CA,Digby
CYIF,YIF,St Augustin Airport,M,51.2054,-58.6596,51.2179,-58.6571,CA,St-Augustin
CYIK,YIK,Ivujivik Airport,M,62.4142,-77.9333,62.4202,-77.9172,CA,Ivujivik
CYIO,YIO,Pond Inlet Airport,M,72.6783,-77.9738,72.6884,-77.9595,CA,Pond Inlet
CYIV,YIV,Island Lake Airport,M,53.8572,-94.6536,,,CA,Island Lake
CYJF,YJF,Fort Liard Airport,M,60.2358,-123.4690,,,CA,Fort Liard
CYJN,YJN,St Jean Airport,M,45.2908,-73.2894,45.2978,-73.2739,CA,St Jean
CYJT,YJT,Stephenville Airport,M,48.5339,-58.5694,48.5489,-58.5303,CA,Stephenville
CYKA,YKA,Kamloops Airport,M,50.6992,-120.4560,50.7039,-120.4310,CA,Kamloops
CYKD,LAK,Aklavik Airport,M,68.2197,-135.0110,68.2269,-135.0010,CA,Aklavik
CYKF,YKF,Waterloo Airport,M,43.4556,-80.3925,43.4653,-80.3668,CA,Kitchener
CYKG,YWB,Kangiqsujuaq (Wakeham Bay) Airport,M,61.5886,-71.9294,,,CA,Kangiqsujuaq
CYKJ,YKJ,Key Lake Airport,M,57.2561,-105.6180,,,CA,Key Lake
CYKL,YKL,Schefferville Airport,M,54.7989,-66.8108,54.8106,-66.7986,CA,Schefferville
CYKO,AKV,Akulivik Airport,M,60.8164,-78.1575,60.8208,-78.1397,CA,Akulivik
CYKQ,YKQ,Waskaganish Airport,M,51.4733,-78.7583,,,CA,Waskaganish
CYKX,YKX,Kirkland Lake Airport,M,48.2082,-79.9900,48.2123,-79.9725,CA,Kirkland Lake
CYKY,YKY,Kindersley Airport,M,51.5120,-109.1880,51.5183,-109.1730,CA,Kindersley
CYKZ,YKZ,Buttonville Municipal Airport,M,43.8556,-79.3733,43.8644,-79.3639,CA,Toronto
CYLA,YPJ,Aupaluk Airport,M,59.2967,-69.5997,,,CA,Aupaluk
CYLC,YLC,Kimmirut Airport,M,62.8500,-69.8833,,,CA,Kimmirut
CYLD,YLD,Chapleau Airport,M,47.8169,-83.3569,47.8233,-83.3367,CA,Chapleau
CYLH,YLH,Lansdowne House Airport,M,52.1956,-87.9342,,,CA,Lansdowne House
CYLJ,YLJ,Meadow Lake Airport,M,54.1225,-108.5340,54.1303,-108.5110,CA,Meadow Lake
CYLK,YSG,Lutselk'e Airport,M,62.4183,-110.6820,,,CA,Lutselk'e
